Nintendo	Nintendo	PC	Sony	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Sony	Sony	Sinclair	Commodore	Sega	Sony	NEC	SNK	Sega	Sega	Sony	Microsoft	Microsoft	Pico-8	Arcade
N64	Gamecube	Windows	PS3	Gameboy	GBA	NES	SNES	Switch	Wii	DS	3DS	Wii U	PSP	PS Vita	ZX Spectrum	Amiga	Megadrive	PS2	TurboGrafx-16/PC Engine	Neo-Geo	Sega Master System	Dreamcast	PS1	XBOX	XBOX360	Pico-8	Arcade
1080° Snowboarding	Baten Kaitos: Eternal Wings and the Lost Ocean	9-Bit Armies	3D Dot Game Heroes	Adventures of Lolo	A Sound of Thunder	Abadox	Adventures of Batman & Robin, The	The Messenger	A Boy And His Blob	999	3DS Classics Lineup SEGA Ages	Affordable Space Adventures	3rd Birthday The	10 Second Ninja X	AMAUROTE	Resolution 101	Adventures of Batman & Robin	2500 – SEGA Ages: Virtua Fighter 2	Alien Crush	Aero Fighters 2/Sonic Wings 2	Aladdin	18 Wheeler American Pro Trucker	70s Robot Anime Geppy X	2K Sports	Alan Wake	Alpine Alpaca	1-on-1 Government
Aero Fighters Assault	Battalion Wars	Aeterna Noctis	Alpha Protocol	Aerostar	Alien Hominid	Adventure Island	 Aladdin	Dex	A Shadows Tale	Age of Empires: Age of Kings, and Mythologies	7th Dragon III Code VFD	AMC The Walking Dead	Akumajou Dracula X - Chronicle	Air Race Speed	Anarchy	Alcatraz	Aero Blasters	Adventures of Cookie & Cream	Beyond Shadowgate	Aero Fighters 3/Sonic Wings 3	Alien 3	4 Wheel Thunder	Ace Combat	Advent Rising	Alpha Protocol	Cab Ride	64th Street: A Detective Story
Aidyn Chronicles: The First Mage	Billy Hatcher and the Giant Egg	Against Great Darkness	Back To The Future - The Game	Amazing Penguin	Astro Boy: Omega Factor	Adventure Island 2	 Alien 3	Road Redemption	Back to the future	Aliens: Infestation	Attack of the Friday Monsters!	Art Academy: SketchPad	Black Rock Shooter - The Game	Bunny Must Die Chelsea and the 7 Devils	AUF WIEDERSEHEN, MONTY	Conqueror	Aerobiz Supersonic	Alien Hominid	Blazing Lazers	Alpha Mission 2 aka ASO II : Last Guardian	Astro Warrior	4×4 Evolution	Alundra	American McGee Presents Scrapland	Beautiful Katamari	Combo Pool	99 The Last War
Bakuretsu Muteki Bangaioh (Bangai-O)	Cubivore: Survival of the Fittest	American Arcadia	Binary Domain	Another Bible	Baldur's Gate: Dark Alliance	Adventures of Lolo	 Axelay	Fight'N Rage	Batman the brave and the bold	Away shuffle dungeon	Attack On Titan: Humanity In Chains	Avengers battle for Earth	Brave Story - New Traveler	Certain Magical Virtual-On A	BATMAN: THE CAPED CRUSADER	The Gold of the Aztecs	Air Buster (Aero Blasters)	Aliens vs Predator: Extinction	Bonk Series	Andro Dunos	Aztec Adventure	Alien Front Online	Alundra 2	American McGee’s Scrapland	Blue Dragon	Curse of the Lich King	A.B.Cop
BattleTanx: Global Assault	Custom Robo	Angel At Dusk	Bound By Flame	Asterix: Search for Dogmatix	Ballistic Ecks vs Sever	Air Fortress	 Blackthorne	Chained Echoes	Battleship	B Team Metal Cartoon Squad	Azure Striker Gunvolt	Axiom verge	Bust-A-Move - Deluxe	Chasm	BEHIND CLOSED DOORS	Birds of Prey	Alex Kidd	Aqua Aqua	Chew Man Fu	Art of Fighting Series	Bank Panic	Alone in the Dark: The New Nightmare	Ape Escape	Armed & Dangerous	Bullet Witch	Golf Sunday	Alien vs Predator
Beetle Adventure Racing	Def Jam: Fight for NY	Anode Heart	Bulletstorm	Avenging Spirit	Banjo-Kazooie: Grunty's revenge	Arkista's Ring	 Breath of Fire	Shakedown Hawaii	Bit Trip Complete	Bangai-o Spirits	Bravely Default Games	Bayonetta 2	Crimson Gem Saga	DRAGON QUEST BUILDERS	BIONIC COMMANDO	Citadel	Alien Soldier	Ar Tonelico	Devils Crush	Bang Bead	Batman Returns	Armada	Arc the Lad Collection	Armed and Dangerous	Conan	High Stakes	Armed Police Batrider
Blast Corps	Doshin the Giant	Anomaly Agent	Castle Crashers	Azure Dreams	Battle B-Daman Fire spirits	Batman	 Breath of Fire II	Sunset Riders	Blast Works	Bejewelled 3 (Butterflies Mode)	Bravely Second	Cabelas dangerous hunt	Crush	Exist Archive	BOOTY	Infestation	Alisia Dragoon	Arc the Lad: Twilight of the Spirits	Fatal Fury	Baseball Stars Pro 2	Bomber Raid	Bangai-O	Asuka 120 Final Burning Festival	Arx Fatalis	Condemned: Criminal Origins	Porklike	Armored Warriors
Body Harvest	Eternal Darkness	Anomaly Collapse	Dark Sector	Ballistic	Bionicle Heroes	Batman: The Video Game	 Bust-A-Move	Cadence of Hyrule	Boom Blox	Big Bang Mini	Cave story 3D	Captain Toad: Treasure Tracker	Darkstalkers Chronicle - The Chaos Tower	Flame Over	Brewery	Cavitas	Atomic Runner	Arcana Heart	Godzilla	Blazing Star	Choplifter	Blue Stinger	Azure Dreams	Baldur’s Gate	Culdcept Saga	The Lost Night	Bank Panic
Buck Bumble	Geist	Astrolancer	Deadly Premonition: Director’s Cut	Balloon Kid	Blackthorne	Battletoads	 Chrono Trigger	The Plucky Squire	Calling	Blood of Bahamut	Code Name STEAM	Cars 3	Dead Head Fred	Football Game	CABAL	Midwinter II: Flames of Freedom	BatteTech: A Game of Armored Combat	Atelier Iris	Legendary Axe	Blues Journey/Raguy	Cloud Masteras	Bomber Hehhe!	Ball Breakers	Beyond Good and Evil	Divinity II: The Dragon Knight Saga	Trial of the Sorcerer	Boogie Wings
Castlevania: Legacy of Darkness	Gladius	Back to the Dawn	Disgaea D2: A Bright Darkness	Balloon Fight	Blendre bros	Bionic Commando	 Contra III - The Alien Wars	Little Kitty: Big City	Cruisin	Boulder Dash Rocks	Code of Princess	Devil's Third	Disgaea - Afternoon of Darkness	GRAVITY RUSH	Carrier command	Blob	Battle Mania/Trouble Shooter Series	Bard’s Tale	Lords of the Rising Sun	Breakers	Cyborg Hunter	Bomberman Online	Ballistic	Blinx	Enchanted Arms	Wizards Rule	Bullet
